time,star1_x,star1_y,star1_z,star2_x,star2_y,star2_z
2318.554777065913,39995018742.452484,-39990491313.3084,0.0,150085788324.4294,-70163760715.24405,0.0
4637.109554131826,39990046992.00019,-39980985232.27871,0.0,150171412915.55228,-70327476555.20013,0.0
6955.66433119774,39985084723.22335,-39971481762.71383,0.0,150256874211.15344,-70491147419.92854,0.0
9274.219108263653,39980131910.787636,-39961980910.351006,0.0,150342172647.54648,-70654773210.62166,0.0
11592.773885329567,39975188529.44384,-39952482680.86224,0.0,150427308659.57852,-70818353829.59486,0.0
13911.328662395481,39970254554.02766,-39942987079.854866,0.0,150512282680.63492,-70981889180.27754,0.0
16229.883439461395,39965329959.4594,-39933494112.87203,0.0,150597095142.64395,-71145379167.20415,0.0
18548.43821652731,39960414720.74367,-39924003785.39325,0.0,150681746476.08154,-71308823696.00531,0.0
20866.992993593223,39955508812.969154,-39914516102.8349,0.0,150766237109.97604,-71472222673.39905,0.0
23185.547770659137,39950612211.308304,-39905031070.55073,0.0,150850567471.9129,-71635576007.18204,0.0
25504.10254772505,39945724891.0171,-39895548693.83233,0.0,150934737988.0393,-71798883606.22095,0.0
27822.657324790966,39940846827.43472,-39886068977.909706,0.0,151018749083.06903,-71962145380.44386,0.0
30141.21210185688,39935977995.98335,-39876591927.951706,0.0,151102601180.28705,-72125361240.83173,0.0
32459.766878922794,39931118372.16784,-39867117549.06653,0.0,151186294701.5542,-72288531099.4099,0.0
34778.32165598871,39926267931.57544,-39857645846.30222,0.0,151269830067.31207,-72451654869.23973,0.0
37096.87643305462,39921426649.87558,-39848176824.647156,0.0,151353207696.58746,-72614732464.41028,0.0
39415.43121012053,39916594502.81952,-39838710489.030525,0.0,151436428006.99722,-72777763800.03003,0.0
41733.98598718644,39911771466.24015,-39829246844.32279,0.0,151519491414.7529,-72940748792.21867,0.0
44052.54076425235,39906957516.05169,-39819785895.33618,0.0,151602398334.66544,-73103687358.09898,0.0
46371.09554131826,39902152628.24938,-39810327646.82516,0.0,151685149180.1498,-73266579415.78877,0.0
48689.65031838417,39897356778.90926,-39800872103.48686,0.0,151767744363.22974,-73429424884.39285,0.0
51008.20509545008,39892569944.18788,-39791419269.96158,0.0,151850184294.54236,-73592223683.99509,0.0
53326.75987251599,39887792100.32205,-39781969150.83319,0.0,151932469383.34283,-73754975735.65051,0.0
55645.3146495819,39883023223.62853,-39772521750.62969,0.0,152014600037.50906,-73917680961.37753,0.0
57963.86942664781,39878263290.5038,-39763077073.82354,0.0,152096576663.5464,-74080339284.15012,0.0
60282.42420371372,39873512277.42374,-39753635124.832184,0.0,152178399666.59204,-74242950627.89017,0.0
62600.97898077963,39868770160.9434,-39744195908.01846,0.0,152260069450.42,-74405514917.45985,0.0
64919.533757845544,39864036917.69675,-39734759427.69106,0.0,152341586417.44556,-74568032078.65398,0.0
67238.08853491145,39859312524.39636,-39725325688.10494,0.0,152422950968.72986,-74730502038.19252,0.0
69556.64331197737,39854596957.83319,-39715894693.46181,0.0,152504163503.98468,-74892924723.71317,0.0
71875.19808904329,39849890194.87623,-39706466447.91049,0.0,152585224421.57687,-75055300063.76389,0.0
74193.75286610921,39845192212.47232,-39697040955.54736,0.0,152666134118.5331,-75217627987.79558,0.0
76512.30764317513,39840502987.64586,-39687618220.416824,0.0,152746892990.54437,-75379908426.15483,0.0
78830.86242024104,39835822497.49852,-39678198246.51168,0.0,152827501431.97067,-75542141310.07666,0.0
81149.41719730696,39831150719.20901,-39668781037.77358,0.0,152907959835.84552,-75704326571.67735,0.0
83467.97197437288,39826487630.032776,-39659366598.09339,0.0,152988268593.88055,-75866464143.9473,0.0
85786.5267514388,39821833207.30177,-39649954931.31165,0.0,153068428096.47015,-76028553960.74402,0.0
88105.08152850471,39817187428.42415,-39640546041.21895,0.0,153148438732.69586,-76190595956.7851,0.0
90423.63630557063,39812550270.88403,-39631139931.55634,0.0,153228300890.33115,-76352590067.64124,0.0
92742.19108263655,39807921712.24125,-39621736606.01575,0.0,153308014955.84576,-76514536229.72934,0.0
95060.74585970247,39803301730.13105,-39612336068.24034,0.0,153387581314.41037,-76676434380.30574,0.0
97379.30063676838,39798690302.26385,-39602938321.824974,0.0,153467000349.9011,-76838284457.45938,0.0
99697.8554138343,39794087406.42498,-39593543370.31652,0.0,153546272444.904,-77000086400.10504,0.0
102016.41019090022,39789493020.474396,-39584151217.214294,0.0,153625397980.71957,-77161840147.97668,0.0
104334.96496796614,39784907122.34646,-39574761865.97043,0.0,153704377337.3673,-77323545641.62083,0.0
106653.51974503206,39780329690.049644,-39565375319.99029,0.0,153783210893.59015,-77485202822.39001,0.0
108972.07452209797,39775760701.66628,-39555991582.632774,0.0,153861899026.859,-77646811632.43616,0.0
111290.62929916389,39771200135.352325,-39546610657.210754,0.0,153940442113.37723,-77808372014.70421,0.0
113609.18407622981,39766647969.33703,-39537232546.99145,0.0,154018840528.08502,-77969883912.92564,0.0
115927.73885329573,39762104181.922775,-39527857255.19675,0.0,154097094644.664,-78131347271.61212,0.0
118246.29363036164,39757568751.48473,-39518484785.003624,0.0,154175204835.5415,-78292762036.04916,0.0
120564.84840742756,39753041656.470634,-39509115139.54448,0.0,154253171471.89517,-78454128152.28989,0.0
122883.40318449348,39748522875.40057,-39499748321.90752,0.0,154330994923.65735,-78615445567.14874,0.0
125201.9579615594,39744012386.86665,-39490384335.13707,0.0,154408675559.5194,-78776714228.19536,0.0
127520.51273862532,39739510169.53277,-39481023182.233986,0.0,154486213746.93622,-78937934083.74841,0.0
129839.06751569123,39735016202.13439,-39471664866.15598,0.0,154563609852.13068,-79099105082.86961,0.0
132157.62229275715,39730530463.478226,-39462309389.81798,0.0,154640864240.09784,-79260227175.35754,0.0
134476.17706982305,39726052932.44207,-39452956756.09244,0.0,154717977274.60953,-79421300311.74179,0.0
136794.73184688896,39721583587.97444,-39443606967.80975,0.0,154794949318.21857,-79582324443.27695,0.0
139113.28662395486,39717122409.09443,-39434260027.758545,0.0,154871780732.26318,-79743299521.93677,0.0
141431.84140102076,39712669374.89137,-39424915938.686005,0.0,154948471876.87143,-79904225500.40823,0.0
143750.39617808667,39708224464.52462,-39415574703.29827,0.0,155025023110.9654,-80065102332.08588,0.0
146068.95095515257,39703787657.22333,-39406236324.26071,0.0,155101434792.26562,-80225929971.06595,0.0
148387.50573221847,39699358932.28612,-39396900804.19831,0.0,155177707277.29535,-80386708372.14073,0.0
150706.06050928438,39694938269.08092,-39387568145.69592,0.0,155253840921.38495,-80547437490.79286,0.0
153024.61528635028,39690525647.04466,-39378238351.29869,0.0,155329836078.67606,-80708117283.18974,0.0
155343.17006341618,39686121045.68305,-39368911423.51227,0.0,155405693102.12598,-80868747706.17795,0.0
157661.7248404821,39681724444.57032,-39359587364.80326,0.0,155481412343.51196,-81029328717.2777,0.0
159980.279617548,39677335823.34896,-39350266177.59941,0.0,155556994153.43536,-81189860274.67734,0.0
162298.8343946139,39672955161.72951,-39340947864.290016,0.0,155632438881.326,-81350342337.228,0.0
164617.3891716798,39668582439.49026,-39331632427.22621,0.0,155707746875.44635,-81510774864.43805,0.0
166935.9439487457,39664217636.477066,-39322319868.721245,0.0,155782918482.8958,-81671157816.46786,0.0
169254.4987258116,39659860732.60306,-39313010191.05087,0.0,155857954049.61487,-81831491154.12442,0.0
171573.0535028775,39655511707.84841,-39303703396.453545,0.0,155932853920.3893,-81991774838.85608,0.0
173891.6082799434,39651170542.26011,-39294399487.13083,0.0,156007618438.8545,-82152008832.74731,0.0
176210.1630570093,39646837215.95169,-39285098465.24763,0.0,156082247947.49945,-82312193098.51355,0.0
178528.7178340752,39642511709.10301,-39275800332.93251,0.0,156156742787.6711,-82472327599.49597,0.0
180847.27261114112,39638194001.96001,-39266505092.27803,0.0,156231103299.57843,-82632412299.65646,0.0
183165.82738820702,39633884074.834435,-39257212745.34098,0.0,156305329822.29657,-82792447163.5725,0.0
185484.38216527292,39629581908.10366,-39247923294.14268,0.0,156379422693.771,-82952432156.4321,0.0
187802.93694233883,39625287482.210396,-39238636740.66932,0.0,156453382250.82166,-83112367244.02888,0.0
190121.49171940473,39621000777.66247,-39229353086.87219,0.0,156527208829.14703,-83272252392.7571,0.0
192440.04649647063,39616721775.032585,-39220072334.66802,0.0,156600902763.3284,-83432087569.60669,0.0
194758.60127353654,39612450454.95809,-39210794485.93922,0.0,156674464386.83365,-83591872742.15848,0.0
197077.15605060244,39608186798.140724,-39201519542.534134,0.0,156747894032.02164,-83751607878.5792,0.0
199395.71082766834,39603930785.34641,-39192247506.26743,0.0,156821192030.14606,-83911292947.61682,0.0
201714.26560473425,39599682397.404976,-39182978378.92027,0.0,156894358711.35965,-84070927918.5958,0.0
204032.82038180015,39595441615.20996,-39173712162.2406,0.0,156967394404.71814,-84230512761.41223,0.0
206351.37515886605,39591208419.71837,-39164448857.94349,0.0,157040299438.1843,-84390047446.52927,0.0
208669.92993593196,39586982791.95044,-39155188467.711296,0.0,157113074138.63202,-84549531944.97243,0.0
210988.48471299786,39582764712.98939,-39145930993.194046,0.0,157185718831.85022,-84708966228.325,0.0
213307.03949006376,39578554163.9812,-39136676436.00962,0.0,157258233842.54694,-84868350268.72342,0.0
215625.59426712967,39574351126.134384,-39127424797.74404,0.0,157330619494.3532,-85027684038.85281,0.0
217944.14904419557,39570155580.71976,-39118176079.95174,0.0,157402876109.8272,-85186967511.94238,0.0
220262.70382126147,39565967509.07022,-39108930284.155815,0.0,157475004010.45804,-85346200661.76102,0.0
222581.25859832737,39561786892.580505,-39099687411.84829,0.0,157547003516.6698,-85505383462.61282,0.0
224899.81337539328,39557613712.70695,-39090447464.49036,0.0,157618874947.82538,-85664515889.33276,0.0
227218.36815245918,39553447950.967285,-39081210443.51264,0.0,157690618622.23062,-85823597917.2822,0.0
229536.92292952508,39549289588.940414,-39071976350.31547,0.0,157762234857.13794,-85982629522.34465,0.0
231855.477706591,39545138608.26614,-39062745186.26908,0.0,157833723968.75043,-86141610680.92145,0.0
234174.0324836569,39540994990.645004,-39053516952.71388,0.0,157905086272.2257,-86300541369.92749,0.0
236492.5872607228,39536858717.83799,-39044291650.96076,0.0,157976322081.67972,-86459421566.78699,0.0
238811.1420377887,39532729771.66638,-39035069282.291214,0.0,158047431710.1907,-86618251249.42929,0.0
241129.6968148546,39528608134.011475,-39025849847.957664,0.0,158118415469.80298,-86777030396.2847,0.0
243448.2515919205,39524493786.81438,-39016633349.18372,0.0,158189273671.53076,-86935758986.28036,0.0
245766.8063689864,39520386712.07578,-39007419787.16436,0.0,158260006625.36212,-87094436998.83614,0.0
248085.3611460523,39516286891.85575,-38998209163.06616,0.0,158330614640.26257,-87253064413.86053,0.0
250403.9159231182,39512194308.27351,-38989001478.02762,0.0,158401098024.17908,-87411641211.74673,0.0
252722.47070018412,39508108943.50719,-38979796733.159256,0.0,158471457084.04376,-87570167373.36845,0.0
255041.02547725002,39504030779.79361,-38970594929.543976,0.0,158541692125.77765,-87728642880.07611,0.0
257359.58025431592,39499959799.42812,-38961396068.237206,0.0,158611803454.2945,-87887067713.69281,0.0
259678.13503138183,39495895984.76432,-38952200150.26715,0.0,158681791373.5045,-88045441856.51044,0.0
261996.68980844773,39491839318.21385,-38943007176.63503,0.0,158751656186.31802,-88203765291.2858,0.0
264315.24458551366,39487789782.24622,-38933817148.3153,0.0,158821398194.6494,-88362038001.23672,0.0
266633.7993625796,39483747359.38855,-38924630066.25586,0.0,158891017699.4206,-88520259970.0383,0.0
268952.3541396455,39479712032.225334,-38915445931.37827,0.0,158960515000.56488,-88678431181.81905,0.0
271270.90891671146,39475683783.3983,-38906264744.578,0.0,159029890397.03058,-88836551621.15717,0.0
273589.4636937774,39471662595.606125,-38897086506.72461,0.0,159099144186.78467,-88994621273.07681,0.0
275908.0184708433,39467648451.60427,-38887911218.661964,0.0,159168276666.8166,-89152640123.04437,0.0
278226.57324790925,39463641334.20475,-38878738881.20851,0.0,159237288133.1417,-89310608156.96481,0.0
280545.1280249752,39459641226.27591,-38869569495.15742,0.0,159306178880.80508,-89468525361.17804,0.0
282863.6828020411,39455648110.742226,-38860403061.27681,0.0,159374949203.8851,-89626391722.45526,0.0
285182.23757910705,39451661970.584114,-38851239580.30997,0.0,159443599395.49704,-89784207227.99538,0.0
287500.792356173,39447682788.83769,-38842079052.975555,0.0,159512129747.79666,-89941971865.42148,0.0
289819.3471332389,39443710548.594574,-38832921479.967804,0.0,159580540551.98383,-90099685622.77727,0.0
292137.90191030485,39439745233.00167,-38823766861.95673,0.0,159648832098.3061,-90257348488.52356,0.0
294456.4566873708,39435786825.260994,-38814615199.58834,0.0,159717004676.06226,-90414960451.53485,0.0
296775.0114644367,39431835308.629425,-38805466493.4848,0.0,159785058573.60593,-90572521501.0958,0.0
299093.56624150265,39427890666.41854,-38796320744.24468,0.0,159852994078.34906,-90730031626.8978,0.0
301412.1210185686,39423952881.99437,-38787177952.44313,0.0,159920811476.76544,-90887490819.0357,0.0
303730.6757956345,39420021938.77722,-38778038118.63206,0.0,159988511054.39423,-91044899068.0043,0.0
306049.23057270044,39416097820.24146,-38768901243.34033,0.0,160056093095.84354,-91202256364.69504,0.0
308367.7853497664,39412180509.91531,-38759767327.074,0.0,160123557884.79385,-91359562700.39273,0.0
310686.3401268323,39408269991.380684,-38750636370.316475,0.0,160190905704.00146,-91516818066.77222,0.0
313004.89490389824,39404366248.27291,-38741508373.5287,0.0,160258136835.30203,-91674022455.89514,0.0
315323.4496809642,39400469264.2806,-38732383337.14933,0.0,160325251559.614,-91831175860.20663,0.0
317642.0044580301,39396579023.145424,-38723261261.59494,0.0,160392250156.94208,-91988278272.5322,0.0
319960.55923509604,39392695508.661896,-38714142147.26023,0.0,160459132906.38052,-92145329686.07445,0.0
322279.11401216197,39388818704.677216,-38705025994.51817,0.0,160525900086.1168,-92302330094.40997,0.0
324597.6687892279,39384948595.09102,-38695912803.72021,0.0,160592551973.43475,-92459279491.48618,0.0
326916.22356629383,39381085163.85522,-38686802575.19641,0.0,160659088844.71817,-92616177871.61816,0.0
329234.77834335977,39377228394.973785,-38677695309.25572,0.0,160725510975.4541,-92773025229.48569,0.0
331553.3331204257,39373378272.50256,-38668591006.18606,0.0,160791818640.23618,-92929821560.13,0.0
333871.88789749163,39369534780.549095,-38659489666.254524,0.0,160858012112.76807,-93086566858.9509,0.0
336190.44267455756,39365697903.2724,-38650391289.707596,0.0,160924091665.86673,-93243261121.70361,0.0
338508.9974516235,39361867624.88278,-38641295876.77126,0.0,160990057571.4658,-93399904344.49591,0.0
340827.5522286894,39358043929.64164,-38632203427.65125,0.0,161055910100.6189,-93556496523.78503,0.0
343146.10700575536,39354226801.86127,-38623113942.533134,0.0,161121649523.50302,-93713037656.37477,0.0
345464.6617828213,39350416225.90469,-38614027421.58255,0.0,161187276109.42163,-93869527739.4126,0.0
347783.2165598872,39346612186.18548,-38604943864.94535,0.0,161252790126.80817,-94025966770.38666,0.0
350101.77133695316,39342814667.16749,-38595863272.74776,0.0,161318191843.22913,-94182354747.12296,0.0
352420.3261140191,39339023653.364746,-38586785645.09656,0.0,161383481525.3875,-94338691667.7825,0.0
354738.880891085,39335239129.341225,-38577710982.07924,0.0,161448659439.12598,-94494977530.85843,0.0
357057.43566815095,39331461079.71066,-38568639283.7642,0.0,161513725849.43,-94651212335.17319,0.0
359375.9904452169,39327689489.1364,-38559570550.20082,0.0,161578681020.43127,-94807396079.8758,0.0
361694.5452222828,39323924342.33115,-38550504781.41973,0.0,161643525215.41077,-94963528764.43901,0.0
364013.09999934875,39320165624.056816,-38541441977.4329,0.0,161708258696.802,-95119610388.65662,0.0
366331.6547764147,39316413319.12437,-38532382138.23383,0.0,161772881726.19427,-95275640952.64069,0.0
368650.2095534806,39312667412.39358,-38523325263.79768,0.0,161837394564.33572,-95431620456.81882,0.0
370968.76433054655,39308927888.77289,-38514271354.08146,0.0,161901797471.13657,-95587548901.93158,0.0
373287.3191076125,39305194733.2192,-38505220409.02415,0.0,161966090705.67227,-95743426289.0297,0.0
375605.8738846784,39301467930.73773,-38496172428.54688,0.0,162030274526.1867,-95899252619.47151,0.0
377924.42866174434,39297747466.38176,-38487127412.553085,0.0,162094349190.09515,-96055027894.92029,0.0
380242.9834388103,39294033325.252525,-38478085360.92862,0.0,162158314953.9876,-96210752117.34167,0.0
382561.5382158762,39290325492.499,-38469046273.54195,0.0,162222172073.6317,-96366425289.00105,0.0
384880.09299294214,39286623953.317726,-38460010150.24427,0.0,162285920803.97595,-96522047412.461,0.0
387198.6477700081,39282928692.95264,-38450976990.86969,0.0,162349561399.1527,-96677618490.57878,0.0
389517.202547074,39279239696.69485,-38441946795.23534,0.0,162413094112.48138,-96833138526.50377,0.0
391835.75732413994,39275556949.88253,-38432919563.14152,0.0,162476519196.47137,-96988607523.67496,0.0
394154.31210120587,39271880437.9007,-38423895294.371895,0.0,162539836902.82513,-97144025485.81851,0.0
396472.8668782718,39268210146.181046,-38414873988.693565,0.0,162603047482.4413,-97299392416.94522,0.0
398791.42165533773,39264546060.20177,-38405855645.85727,0.0,162666151185.41763,-97454708321.34818,0.0
401109.97643240367,39260888165.4874,-38396840265.59747,0.0,162729148261.05402,-97609973203.60017,0.0
403428.5312094696,39257236447.6086,-38387827847.63256,0.0,162792038957.8556,-97765187068.55148,0.0
405747.08598653553,39253590892.18202,-38378818391.66494,0.0,162854823523.53558,-97920349921.32733,0.0
408065.64076360146,39249951484.870125,-38369811897.38118,0.0,162917502205.01834,-98075461767.32559,0.0
410384.1955406674,39246318211.381,-38360808364.45216,0.0,162980075248.44238,-98230522612.21439,0.0
412702.7503177333,39242691057.46817,-38351807792.533195,0.0,163042542899.1632,-98385532461.92978,0.0
415021.30509479926,39239070008.930504,-38342810181.264206,0.0,163104905401.7564,-98540491322.6735,0.0
417339.8598718652,39235455051.611946,-38333815530.2698,0.0,163167163000.02045,-98695399200.91054,0.0
419658.4146489311,39231846171.401405,-38324823839.159424,0.0,163229315936.9797,-98850256103.36697,0.0
421976.96942599706,39228243354.23259,-38315835107.52752,0.0,163291364454.88733,-99005062037.02765,0.0
424295.524203063,39224646586.08378,-38306849334.953606,0.0,163353308795.22806,-99159817009.13391,0.0
426614.0789801289,39221055852.977715,-38297866521.00246,0.0,163415149198.72134,-99314521027.18146,0.0
428932.63375719485,39217471140.98143,-38288886665.2242,0.0,163476885905.32397,-99469174098.91803,0.0
431251.1885342608,39213892436.206055,-38279909767.154465,0.0,163538519154.23312,-99623776232.3413,0.0
433569.7433113267,39210319724.80668,-38270935826.314476,0.0,163600049183.8891,-99778327435.69662,0.0
435888.29808839265,39206752992.98215,-38261964842.21121,0.0,163661476231.97824,-99932827717.47493,0.0
438206.8528654586,39203192226.974945,-38252996814.337524,0.0,163722800535.4357,-100087277086.41058,0.0
440525.4076425245,39199637413.070984,-38244031742.17225,0.0,163784022330.44833,-100241675551.4792,0.0
442843.96241959045,39196088537.59949,-38235069625.180336,0.0,163845141852.4575,-100396023121.89561,0.0
445162.5171966564,39192545586.932785,-38226110462.81295,0.0,163906159336.16177,-100550319807.11168,0.0
447481.0719737223,39189008547.48618,-38217154254.507645,0.0,163967075015.5199,-100704565616.8143,0.0
449799.62675078824,39185477405.71779,-38208200999.68841,0.0,164027889123.75342,-100858760560.92331,0.0
452118.1815278542,39181952148.12834,-38199250697.76586,0.0,164088601893.3495,-101012904649.58942,0.0
454436.7363049201,39178432761.26106,-38190303348.13731,0.0,164149213556.0637,-101166997893.19221,0.0
456755.29108198604,39174919231.70151,-38181358950.1869,0.0,164209724342.92273,-101321040302.33817,0.0
459073.845859052,39171411546.07737,-38172417503.28571,0.0,164270134484.22717,-101475031887.85854,0.0
461392.4006361179,39167909691.05838,-38163479006.79191,0.0,164330444209.55414,-101628972660.80748,0.0
463710.95541318384,39164413653.3561,-38154543460.05079,0.0,164390653747.7601,-101782862632.46004,0.0
466029.51019024977,39160923419.72378,-38145610862.39497,0.0,164450763326.98352,-101936701814.31021,0.0
468348.0649673157,39157438976.956184,-38136681213.14447,0.0,164510773174.64758,-102090490218.069,0.0
470666.61974438163,39153960311.889496,-38127754511.60679,0.0,164570683517.46283,-102244227855.66248,0.0
472985.17452144757,39150487411.40108,-38118830757.07707,0.0,164630494581.4299,-102397914739.22992,0.0
475303.7292985135,39147020262.40941,-38109909948.83819,0.0,164690206591.84213,-102551550881.12186,0.0
477622.28407557943,39143558851.87383,-38100992086.16086,0.0,164749819773.28824,-102705136293.89822,0.0
479940.83885264536,39140103166.79447,-38092077168.303734,0.0,164809334349.65497,-102858670990.3265,0.0
482259.3936297113,39136653194.21207,-38083165194.51354,0.0,164868750544.12964,-103012154983.37987,0.0
484577.9484067772,39133208921.20781,-38074256164.02516,0.0,164928068579.20294,-103165588286.23532,0.0
486896.50318384316,39129770334.90318,-38065350076.06174,0.0,164987288676.6714,-103318970912.27191,0.0
489215.0579609091,39126337422.459854,-38056446929.83482,0.0,165046411057.63995,-103472302875.06894,0.0
491533.612737975,39122910171.07945,-38047546724.54439,0.0,165105435942.5247,-103625584188.40408,0.0
493852.16751504096,39119488568.00349,-38038649459.37905,0.0,165164363551.0553,-103778814866.25171,0.0
496170.7222921069,39116072600.513145,-38029755133.51606,0.0,165223194102.2777,-103931994922.78104,0.0
498489.2770691728,39112662255.92921,-38020863746.12148,0.0,165281927814.55658,-104085124372.35443,0.0
500807.83184623875,39109257521.61185,-38011975296.35024,0.0,165340564905.5779,-104238203229.52567,0.0
503126.3866233047,39105858384.96048,-38003089783.34629,0.0,165399105592.35156,-104391231509.03816,0.0
505444.9414003706,39102464833.41364,-37994207206.24264,0.0,165457550091.21375,-104544209225.8233,0.0
507763.49617743655,39099076854.44886,-37985327564.16149,0.0,165515898617.82962,-104697136394.99875,0.0
510082.0509545025,39095694435.582436,-37976450856.21432,0.0,165574151387.19574,-104850013031.86668,0.0
512400.6057315684,39092317564.36939,-37967577081.502,0.0,165632308613.64255,-105002839151.91223,0.0
