scenario_variation,model,row_wise,observations_attempted,correct,percent_error,run_time,input_tokens_used,output_tokens_used,cost,source_file
"K+U-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,False,1.20206557617607,25.21,8686,1250,0.034215,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"K+U-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,False,1.20206557617607,9.97,3438,407,0.012665000000000001,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"K+U-9.6 M, 3.1 M",gpt-4o-2024-11-20,False,,False,1.20206557617607,10.26,4784,555,0.01751,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"K+U-9.6 M, 3.1 M, Proper Motion",gpt-4o-2024-11-20,False,,False,1.2086039042451497,17.69,6164,1098,0.026390000000000004,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"K+U-9.6 M, 3.1 M, Proper Motion",gpt-4o-2024-11-20,False,,False,1.2086039042451497,8.78,2646,589,0.012505,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"K+U-9.6 M, 3.1 M, Proper Motion",gpt-4o-2024-11-20,False,,False,1.2086039042451497,10.35,5051,541,0.0180375,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"K+U-10.1 M, 5.6 M, Unbound",gpt-4o-2024-11-20,False,,False,0.8013493607261292,33.96,18903,1873,0.0659875,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"K+U-10.1 M, 5.6 M, Unbound",gpt-4o-2024-11-20,False,,False,0.802406953009153,12.18,4443,958,0.0206875,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"K+U-10.1 M, 5.6 M, Unbound",gpt-4o-2024-11-20,False,,False,0.8024029975122774,17.4,8597,1424,0.0357325,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
"K+U-21.3 M, 3.1 M",gpt-4o-2024-11-20,False,,False,1.258535634685816,28.38,8282,1358,0.034285,gpt-4o-2024-11-20_15-01_13_53_58/gpt-4o-2024-11-20_15-01_13_53_58.json
