time,star1_x,star1_y,star1_z,star2_x,star2_y,star2_z,star1_vx,star1_vy,star1_vz,star2_vx,star2_vy,star2_vz,star1_mass,star2_mass,separation,force,star1_accel,star2_accel,specific_angular_momentum,orbital_period,mean_motion,semimajor_axis,eccentricity,inclination,true_anomaly,mean_anomaly,time_of_pericenter_passage,radial_distance_from_reference
18000.0,51067001900.85127,101662962979.87306,0.0,73075585857.39323,27000727482.728935,0.0,60003.678696993506,90083.81075765095,0.0,-108220.92050707758,-162472.58725933474,0.0,2.0088899999999998e+31,1.11384e+31,77838468492.14832,2.4648007095655508e+30,0.1226946577246913,0.22128857911060396,1.81184333317057e+16,-1731169.8752048775,-3.629444687764102e-06,-54085621729.27978,1.9779492573642765,3.141592653589793,1.0268726246305864,0.7570410583494143,-190583.16449941133,77838468492.14832
36000.0,52157970296.10252,103244980376.64389,0.0,71107946430.24365,24147446106.410126,0.0,61161.1146790132,85748.5268542583,0.0,-110308.4389746488,-154653.59307643014,0.0,2.0088899999999998e+31,1.11384e+31,81335856318.81749,2.2573883968671476e+30,0.11236993548014813,0.20266720506241,1.8118433331705696e+16,-1921344.691471554,-3.2702020283342843e-06,-57977420914.88987,1.927898595683237,3.141592653589793,1.0635194717031373,0.7459555065781984,-192106.85704276184,81335856318.81749
54000.0,53267053952.724884,104751732686.74185,0.0,69107634835.26405,21429910689.98345,0.0,62026.74036479795,81717.00846317457,0.0,-111869.65672936774,-147382.46169251128,0.0,2.0088899999999998e+31,1.11384e+31,84814208854.15224,2.07602770250756e+30,0.10334202980290409,0.18638473232309488,1.8118433331705696e+16,-2128003.879287642,-2.9526192918797256e-06,-62063602279.95883,1.8809367661286829,3.141592653589793,1.0976340229228096,0.7322548435415008,-194001.78118301384,84814208854.15224
72000.0,54389515027.43942,106188470044.94688,0.0,67083196111.225334,18838652240.36366,0.0,62655.67909786573,77965.07109336677,0.0,-113003.99265865069,-140615.5746505365,0.0,2.0088899999999998e+31,1.11384e+31,88267322435.60324,1.91677205884105e+30,0.09541448555376603,0.1720868400166137,1.8118433331705696e+16,-2352296.3697407446,-2.6710857475293725e-06,-66351395474.66314,1.8368223038962792,3.141592653589793,1.1295199578207864,0.716482637429543,-196236.47952607134,88267322435.60324
90000.0,55521504327.27643,107560010588.85548,0.0,65041572552.59073,16364980902.242785,0.0,63091.98327724223,74469.0686054527,0.0,-113790.89841074045,-134310.28444912005,0.0,2.0088899999999998e+31,1.11384e+31,91690594602.4826,1.7763183284001685e+30,0.08842287673293056,0.1594769741076069,1.8118433331705696e+16,-2595528.481984614,-2.420773014355553e-06,-70849898913.64717,1.7953239496218472,3.141592653589793,1.1594363754621835,0.6990791373022311,-198783.43122489587,91690594602.4826
108000.0,56659883915.22295,108870757638.77487,0.0,62988423652.90147,14000954972.923885,0.0,63370.97438965736,71206.64250276377,0.0,-114294.07880991773,-128426.26594248466,0.0,2.0088899999999998e+31,1.11384e+31,95080649309.25159,1.6519089165090268e+30,0.08222993376984439,0.1483075591206122,1.8118433331705696e+16,-2859178.3136839108,-2.197549301877577e-06,-75570018707.27647,1.756225291112447,3.141592653589793,1.1876049549204577,0.6804020297749567,-201618.55062529142,95080649309.25157
126000.0,57802087206.952805,110124726537.47644,0.0,60928378430.31727,11739332494.908575,0.0,63521.085470958715,68157.07893447013,0.0,-114564.81486726484,-122926.1602210979,0.0,2.0088899999999998e+31,1.11384e+31,98435051977.0505,1.541241964080863e+30,0.07672107303440522,0.13837193529419514,1.81184333317057e+16,-3144913.6767988503,-1.997888003582701e-06,-80524466304.55217,1.7193267238788776,3.141592653589793,1.214216013325978,0.660742983056684,-204720.7320289279,98435051977.0505
144000.0,58946008489.511475,111325575627.84105,0.0,58865234688.55966,9573515385.500975,0.0,63565.30306344133,65301.432108339344,0.0,-114644.56445370668,-117775.79719539774,0.0,2.0088899999999998e+31,1.11384e+31,101752092302.65353,1.4423932408230644e+30,0.07180050877962778,0.12949734619182868,1.81184333317057e+16,-3454613.9525431106,-1.818780735993446e-06,-85727807642.792,1.6844458261915038,3.141592653589793,1.2394335696805383,0.6403407659293139,-208071.4472377288,101752092302.65353
162000.0,60089915436.7914,112476638124.59032,0.0,56802116801.50123,7497491953.863906,0.0,63522.293310851775,62622.51301366427,0.0,-114566.99329278624,-112944.17525678733,0.0,2.0088899999999998e+31,1.11384e+31,105030618157.75891,1.3537501946147704e+30,0.06738797020318536,0.1215390176878879,1.81184333317057e+16,-3790396.3823681697,-1.657659166309664e-06,-91196559612.36172,1.651416833158763,3.141592653589793,1.2633995503541415,0.6193916335573615,-211654.39539436315,105030618157.75891
180000.0,61232379584.4975,113580953048.97586,0.0,54741601106.5313,5505781108.097107,0.0,63407.281706004294,60104.80441592473,0.0,-114359.56164832918,-108403.30796443566,0.0,2.0088899999999998e+31,1.11384e+31,108269908078.37852,1.273957204014266e+30,0.06341597618656403,0.11437524276505297,1.81184333317057e+16,-4154647.476977725,-1.5123269403714256e-06,-96949332231.1738,1.6200896324381984,3.141592653589793,1.2862372716534551,0.5980575545068385,-215455.20121459733,108269908078.37852
198000.0,62372220847.74535,114641294261.11955,0.0,52685815971.0307,3593379993.337941,0.0,63232.74176715694,57734.339214488486,0.0,-114044.76640147949,-104128.00465470244,0.0,2.0088899999999998e+31,1.11384e+31,111469572990.3915,1.2018705683045884e+30,0.05982759475653662,0.10790334054303927,1.8118433331705696e+16,-4550060.420567058,-1.3809015104015992e-06,-103007017217.26245,1.5903285386951431,3.141592653589793,1.308054322104141,0.5764727413286002,-219461.1563434006,111469572990.3915
216000.0,63508463046.89259,115660197147.48245,0.0,50636522004.71157,1755715859.0048654,0.0,63008.93580797348,55498.56433076539,0.0,-113641.11636795219,-100095.62495370184,0.0,2.0088899999999998e+31,1.11384e+31,114629480168.89253,1.1365216921006255e+30,0.056574610461529784,0.10203635101097336,1.81184333317057e+16,-4979679.583463962,-1.2617649794264233e-06,-109393025793.08606,1.5620109999950487,3.141592653589793,1.3289449502633612,0.5547488504660043,-223660.99829318747,114629480168.89253
234000.0,64640298092.67175,116639982829.84393,0.0,48595176654.288445,-11397603.825655937,0.0,62744.34117394848,53386.20301982789,0.0,-113163.90104587136,-96285.83044647529,0.0,2.0088899999999998e+31,1.11384e+31,117749694178.17262,1.0770870378935315e+30,0.05361602864733916,0.09670033738180812,1.8118433331705696e+16,-5446953.547160125,-1.1535228367158458e-06,-116133580695.76028,1.5350263244649154,3.141592653589793,1.3489920468883572,0.532979138057021,-228044.72169311135,117749694178.17262
252000.0,65767057010.23242,117582779938.5826,0.0,46562986463.68795,-1711799532.0864563,0.0,62445.98761988179,51387.12277679454,0.0,-112625.79910014394,-92680.34643671871,0.0,2.0088899999999998e+31,1.11384e+31,120830430838.59476,1.0228636074335458e+30,0.05091685495141824,0.09183218482309362,1.81184333317057e+16,-5955798.409691859,-1.0549694390184482e-06,-123258069647.03378,1.5092744754195815,3.141592653589793,1.368268794835699,0.5112417950735377,-232603.41708969395,120830430838.59476
270000.0,66888186387.893036,118490544088.07686,0.0,44540949550.40721,-3349017015.995752,0.0,62119.72554610047,49492.212515158615,0.0,-112037.36214564549,-89262.74042912536,0.0,2.0088899999999998e+31,1.11384e+31,123872021232.81805,9.732489121799292e+29,0.04844709825724302,0.08737780221395616,1.81184333317057e+16,-6510673.600630884,-9.65059177067446e-07,-130799470107.58511,1.4846649585899963,3.141592653589793,1.3868400467381896,0.4896026357187484,-237329.1331278967,123872021232.81805
288000.0,68003229148.364456,119365075237.69208,0.0,42529890285.985535,-4926296410.837484,0.0,61770.44024210509,47693.27059297056,0.0,-111407.40115093954,-86018.22017660762,0.0,2.0088899999999998e+31,1.11384e+31,126874883483.96811,9.27724577729013e+29,0.04618095454350477,0.08329065015882112,1.81184333317057e+16,-7116673.025861228,-8.82882392425107e-07,-138794858174.14365,1.4611158103273407,3.141592653589793,1.4047634793480448,0.4681172745046558,-242214.75852387142,126874883483.96811
306000.0,69111808780.06543,120208033138.073,0.0,40530487735.953415,-6446631195.453075,0.0,61402.22379710282,45982.90402920171,0.0,-110743.2964912033,-82933.45190981022,0.0,2.0088899999999998e+31,1.11384e+31,129839500576.92291,8.858428873934764e+29,0.04409613704052868,0.0795305328766678,1.81184333317057e+16,-7779635.126477434,-8.076452436432671e-07,-147286018182.15457,1.4385526870263403,3.141592653589793,1.4220905642563828,0.4468328976420324,-247253.92077638023,129839500576.92291
324000.0,70213616350.99323,121020951061.73335,0.0,38543299081.244354,-7912786736.340521,0.0,61018.51367625693,44354.43855655875,0.0,-110051.24788039198,-79996.39811093631,0.0,2.0088899999999998e+31,1.11384e+31,132766402898.28227,8.47215704243407e+29,0.04217332478350766,0.07606260362739774,1.81184333317057e+16,-8506276.433163587,-7.386528472885279e-07,-156320174213.30182,1.4169080511964123,3.141592653589793,1.4388673872275612,0.42578971136777355,-252440.89903772436,132766402898.28227
