time,star1_x,star1_y,star1_z,star2_x,star2_y,star2_z
4800.0,49262718434.88585,10220703379.632774,0.0,76424896335.34914,29697102060.001995,0.0
9600.0,48551211903.23213,10459929612.755915,0.0,77803305556.77853,29360796830.673145,0.0
14400.0,47864273769.55567,10715062684.282587,0.0,79137403917.5704,28995802482.080788,0.0
19200.0,47200707696.46102,10983883597.974346,0.0,80429349097.67007,28606121132.440685,0.0
24000.0,46559352262.11793,11264504208.092747,0.0,81681235804.30711,28195158187.459675,0.0
28800.0,45939095420.233246,11555312294.030304,0.0,82895069692.40309,27765821402.16197,0.0
33600.0,45338882212.12164,11854926201.503254,0.0,84072753455.3012,27320602688.73793,0.0
38400.0,44757718054.56501,12162157463.551542,0.0,85216080894.87694,26861645532.240513,0.0
43200.0,44194669178.09592,12475980000.848946,0.0,86326736131.06267,26390800540.025944,0.0
48000.0,43648861277.4419,12795504711.523483,0.0,87406296035.86761,25909671270.827614,0.0
52800.0,43119477086.162796,13119958461.926193,0.0,88456234607.69283,25419652126.40526,0.0
57600.0,42605753349.67282,13448666667.757656,0.0,89477928430.7019,24921959767.727474,0.0
62400.0,42106977509.35675,13781038805.957619,0.0,90472662655.25449,24417659245.31365,0.0
67200.0,41622484301.03069,14116556322.809793,0.0,91441637132.82509,23907685807.83065,0.0
72000.0,41151652396.9697,14454762505.77832,0.0,92385972472.3462,23392863168.959232,0.0
76800.0,40693901170.83069,14795253969.181519,0.0,93306715874.90088,22873918863.589565,0.0
81600.0,40248687631.35373,15137673470.315119,0.0,94204846664.0115,22351497204.456142,0.0
86400.0,39815503548.49214,15481703826.068144,0.0,95081281468.8694,21826170253.95554,0.0
91200.0,39393872781.0293,15827062742.975574,0.0,95936879044.16885,21298447148.51574,0.0
96000.0,38983348805.34714,16173498408.119356,0.0,96772444727.14957,20768782050.721096,0.0
100800.0,38583512439.14674,16520785716.022142,0.0,97588734543.02924,20237580954.37896,0.0
105600.0,38193969750.439415,16868723029.03883,0.0,98386458976.28749,19705207527.384968,0.0
110400.0,37814350140.24172,17217129386.825386,0.0,99166286428.6623,19171988144.64532,0.0
115200.0,37444304586.581505,17565842095.11552,0.0,99928846386.21057,18638216236.890285,0.0
120000.0,37083504037.28321,17914714635.94763,0.0,100674732318.03467,18104156059.729187,0.0
124800.0,36731637939.299484,18263614851.19975,0.0,101404504328.73784,17570045969.77487,0.0
129600.0,36388412892.91834,18612423359.239746,0.0,102118691585.6578,17036101280.328123,0.0
134400.0,36053551419.886765,18961032171.02385,0.0,102817794540.6437,16502516757.342896,0.0
139200.0,35726790835.274,19309343477.3512,0.0,103502286964.7314,15969468806.699312,0.0
144000.0,35407882213.7002,19657268583.42333,0.0,104172617812.62383,15437117395.801758,0.0
148800.0,35096589441.34643,20004726970.53897,0.0,104829212932.4587,14905607745.87929,0.0
153600.0,34792688345.9192,20351645467.81629,0.0,105472476634.97963,14375071825.8438,0.0
158400.0,34495965897.45574,20697957519.38861,0.0,106102793134.94089,13845629673.954828,0.0
163200.0,34206219473.518967,21043602534.657158,0.0,106720527876.38083,13317390569.685162,0.0
168000.0,33923256182.941013,21388525310.978065,0.0,107326028752.2986,12790454074.946054,0.0
172800.0,33646892242.832836,21732675519.671032,0.0,107919627228.26195,12264910961.107347,0.0
177600.0,33376952404.084587,22076007247.51177,0.0,108501639378.55829,11740844035.948545,0.0
182400.0,33113269421.042294,22418478586.949783,0.0,109072366842.67067,11218328882.730373,0.0
187200.0,32855683561.462387,22760051269.209034,0.0,109632097709.10982,10697434521.923903,0.0
192000.0,32604042153.221043,23100690335.20901,0.0,110181107332.9562,10178224004.727905,0.0
196800.0,32358199164.59375,23440363839.909203,0.0,110719659092.85582,9660754946.304737,0.0
201600.0,32118014815.224773,23779042586.24925,0.0,111248005092.66455,9145080005.638254,0.0
206400.0,31883355215.180153,24116699885.345478,0.0,111766386812.44183,8631247318.036518,0.0
211200.0,31654092029.724144,24453311340.02417,0.0,112275035713.05038,8119300885.544982,0.0
216000.0,31430102167.68029,24788854649.133785,0.0,112774173798.21916,7609280929.883384,0.0
220800.0,31211267491.43761,25123309430.390667,0.0,113264014137.56795,7101224211.956184,0.0
225600.0,30997474546.841347,25456657059.783165,0.0,113744761353.76874,6595164321.498675,0.0
230400.0,30788614311.368954,25788880525.793724,0.0,114216612076.72827,6091131939.997882,0.0
235200.0,30584581959.137207,26119964296.90224,0.0,114679755367.41449,5589155079.659698,0.0
240000.0,30385276641.416855,26449894201.011665,0.0,115134373113.71408,5089259300.873445,0.0
244800.0,30190601281.44937,26778657315.59168,0.0,115580640400.49512,4591467910.345593,0.0
249600.0,30000462382.466423,27106241867.471813,0.0,116018725855.8576,4095802141.830024,0.0
254400.0,29814769847.90894,27432637141.334064,0.0,116448791975.38132,3602281321.1681433,0.0
259200.0,29633436812.92923,27757833396.05915,0.0,116870995426.02368,3110923017.1643596,0.0
264000.0,29456379486.338154,28081821788.17223,0.0,117285487331.1794,2621743179.6572266,0.0
268800.0,29283517002.230366,28404594301.71441,0.0,117692413538.28491,2134756266.0011883,0.0
273600.0,29114771280.584957,28726143683.937572,0.0,118091914870.23505,1649975357.045516,0.0
278400.0,28950066896.19723,29046463386.282944,0.0,118484127361.77402,1167412263.5837178,0.0
283200.0,28789330955.35018,29365547510.159325,0.0,118869182481.92712,687077624.1463526,0.0
288000.0,28632492979.682518,29683390757.086308,0.0,119247207343.45312,208980994.9212867,0.0
292800.0,28479484796.75364,29999988382.811558,0.0,119618324900.2181,-266869067.49350822,0.0
297600.0,28330240436.845898,30315336155.05005,0.0,119982654133.31995,-740464929.8696821,0.0
302400.0,28184696035.580677,30629430314.527912,0.0,120340310226.72725,-1211799812.088295,0.0
307200.0,28042789741.9579,30942267539.044346,0.0,120691404733.13658,-1680867722.322898,0.0
312000.0,27904461631.458714,31253844910.292618,0.0,121036045730.698,-2147663397.1988587,0.0
316800.0,27769653623.878696,31564159883.205887,0.0,121374337971.20879,-2612182246.5063286,0.0
321600.0,27638309405.58409,31873210257.615524,0.0,121706383020.32979,-3074420302.084034,0.0
326400.0,27510374355.9066,32180994152.02952,0.0,122032279390.3378,-3534374170.5267453,0.0
331200.0,27385795477.413406,32487509979.35619,0.0,122352122665.88841,-3992040989.4012437,0.0
336000.0,27264521329.808453,32792756424.41439,0.0,122666005623.22989,-4447418386.684397,0.0
340800.0,27146501967.238663,33096732423.08579,0.0,122974018343.27579,-4900504443.162773,0.0
345600.0,27031688878.795185,33399437142.977596,0.0,123276248318.91531,-5351297657.556542,0.0
350400.0,26920034932.014675,33700869965.47595,0.0,123572780556.91269,-5799796914.151393,0.0
355200.0,26811494319.199326,34001030469.080383,0.0,123863697674.7229,-6246001452.741142,0.0
360000.0,26706022506.38715,34299918413.919647,0.0,124149079992.52739,-6689910840.700853,0.0
364800.0,26603576184.8156,34597533727.35743,0.0,124429005620.7729,-7131524947.025747,0.0
369600.0,26504113224.732376,34893876490.604485,0.0,124703550543.47697,-7570843918.185223,0.0
374400.0,26407592631.41726,35188946926.26066,0.0,124972788697.5457,-8007868155.654009,0.0
379200.0,26313974503.287872,35482745386.71671,0.0,125236792048.33301,-8442598294.994011,0.0
384000.0,26223219991.970844,35775272343.35162,0.0,125495630661.65518,-8875035186.370863,0.0
388800.0,26135291264.22756,36066528376.4663,0.0,125749372772.46043,-9305179876.398737,0.0
393600.0,26050151465.631077,36356514165.89964,0.0,125998084850.3402,-9733033591.215618,0.0
398400.0,25967764685.897305,36645230482.27685,0.0,126241831662.05684,-10158597720.69911,0.0
403200.0,25888095925.779953,36932678178.84433,0.0,126480676331.25104,-10581873803.740074,0.0
408000.0,25811111065.444344,37218858183.848885,0.0,126714680395.48172,-11002863514.497911,0.0
412800.0,25736776834.240685,37503771493.42223,0.0,126943903860.74228,-11421568649.56731,0.0
417600.0,25665060781.80224,37787419164.93502,0.0,127168405253.587,-11837991115.991762,0.0
422400.0,25595931250.39848,38069802310.787224,0.0,127388241670.99417,-12252132920.064098,0.0
427200.0,25529357348.47772,38350922092.604385,0.0,127603468828.08379,-12663996156.858952,0.0
432000.0,25465308925.33744,38630779715.811386,0.0,127814141103.80147,-13073583000.446178,0.0
436800.0,25403756546.86456,38909376424.557655,0.0,128020311584.67259,-13480895694.738169,0.0
441600.0,25344671472.291115,39186713496.969734,0.0,128222032106.72508,-13885936544.927427,0.0
446400.0,25288025631.914165,39462792240.70873,0.0,128419353295.67319,-14288707909.474163,0.0
451200.0,25233791605.731716,39737613988.812004,0.0,128612324605.44907,-14689212192.60645,0.0
456000.0,25181942602.949223,40011180095.799835,0.0,128800994355.1643,-15087451837.2984,0.0
460800.0,25132452442.31398,40283491934.0294,0.0,128985409764.57826,-15483429318.694191,0.0
465600.0,25085295533.236954,40554550890.27935,0.0,129165616988.14615,-15877147137.948172,0.0
470400.0,25040446857.664124,40824358362.54978,0.0,129341661147.7154,-16268607816.453382,0.0
475200.0,24997881952.661373,41092915757.06333,0.0,129513586363.93503,-16657813890.43279,0.0
480000.0,24957576893.679066,41360224485.45412,0.0,129681435786.43922,-17044767905.869352,0.0
484800.0,24919508278.464283,41626285962.13222,0.0,129845251622.8627,-17429472413.752686,0.0
489600.0,24883653211.59048,41891101601.812294,0.0,130005075166.74263,-17811929965.621716,0.0
494400.0,24849989289.575947,42154672817.19557,0.0,130160946824.35852,-18192143109.384018,0.0
499200.0,24818494586.56401,42417001016.79536,0.0,130312906140.559,-18570114385.393963,0.0
504000.0,24789147640.539417,42678087602.89681,0.0,130460991823.62161,-18945846322.772976,0.0
508800.0,24761927440.05657,42937933969.64224,0.0,130605241769.18927,-19319341435.956314,0.0
513600.0,24736813411.456738,43196541501.23407,0.0,130745693083.32507,-19690602221.451893,0.0
518400.0,24713785406.55245,43453911570.24773,0.0,130882382104.72427,-20059631154.79757,0.0
523200.0,24692823690.758408,43710045536.04768,0.0,131015344426.12106,-20426430687.70424,0.0
528000.0,24673908931.649437,43964944743.29989,0.0,131144614914.92513,-20791003245.373005,0.0
532800.0,24657022187.92683,44218610520.574615,0.0,131270227733.12164,-21153351223.975254,0.0
537600.0,24642144898.775505,44471044179.03395,0.0,131392216356.46638,-21513476988.28545,0.0
542400.0,24629258873.59527,44722247011.19854,0.0,131510613593.00613,-21871382869.456913,0.0
547200.0,24618346282.09023,44972220289.78868,0.0,131625451600.95311,-22227071162.931602,0.0
552000.0,24609389644.70133,45220965266.634964,0.0,131736761905.94063,-22580544126.4754,0.0
556800.0,24602371823.36758,45468483171.65417,0.0,131844575417.68582,-22931803978.331066,0.0
561600.0,24597276012.60239,45714775211.88622,0.0,131948922446.08414,-23280852895.48135,0.0
566400.0,24594085730.871964,45959842570.5885,0.0,132049832716.75905,-23627693012.015423,0.0
571200.0,24592784812.26339,46203686406.383644,0.0,132147335386.08919,-23972326417.591995,0.0
576000.0,24593357398.430748,46446307852.45777,0.0,132241459055.73416,-24314755155.99315,0.0
580800.0,24595787930.80786,46687708015.80564,0.0,132332231786.6794,-24654981223.763023,0.0
585600.0,24600061143.077156,46927887976.52002,0.0,132419681112.81909,-24993006568.92607,0.0
590400.0,24606162053.884373,47166848787.1223,0.0,132503834054.09575,-25328833089.77979,0.0
595200.0,24614075959.78944,47404591471.931755,0.0,132584717129.21379,-25662462633.75717,0.0
600000.0,24623788428.444237,47641117026.47108,0.0,132662356367.94392,-25993896996.35449,0.0
604800.0,24635285291.98845,47876426416.9057,0.0,132736777323.03421,-26323137920.120113,0.0
609600.0,24648552640.65504,48110520579.514854,0.0,132808005081.74307,-26650187093.70052,0.0
614400.0,24663576816.577328,48343400420.19225,0.0,132876064277.00862,-26975046150.939724,0.0
619200.0,24680344407.78994,48575066813.974464,0.0,132940979098.2684,-27297716670.028687,0.0
624000.0,24698842242.416374,48805520604.595184,0.0,133002773301.94255,-27618200172.701378,0.0
628800.0,24719057383.036037,49034762604.06363,0.0,133061470221.59319,-27936498123.474426,0.0
633600.0,24740977121.22418,49262793592.26551,0.0,133117092777.77211,-28252611928.92743,0.0
638400.0,24764588972.25819,49489614316.58503,0.0,133169663487.5683,-28566542937.021183,0.0
643200.0,24789880669.984234,49715225491.54647,0.0,133219204473.86636,-28878292436.451244,0.0
648000.0,24816840161.838264,49939627798.47396,0.0,133265737474.32645,-29187861656.034363,0.0
652800.0,24845455604.015823,50162821885.16829,0.0,133309283850.09589,-29495251764.125526,0.0
657600.0,24875715356.785313,50384808365.59939,0.0,133349864594.26201,-29800463868.06337,0.0
662400.0,24907607979.93946,50605587819.61347,0.0,133387500340.05582,-30103499013.641956,0.0
667200.0,24941122228.38018,50825160792.6537,0.0,133422211368.81491,-30404358184.606976,0.0
672000.0,24976247047.831997,51043527795.49333,0.0,133454017617.7147,-30703042302.17449,0.0
676800.0,25012971570.679573,51260689303.98046,0.0,133482938687.27571,-30999552224.570538,0.0
681600.0,25051285111.92495,51476645758.79341,0.0,133508993848.65497,-31293888746.589928,0.0
686400.0,25091177165.26037,51691397565.20584,0.0,133532202050.72897,-31586052599.172676,0.0
691200.0,25132637399.252644,51904945092.860916,0.0,133552581926.97545,-31876044448.99661,0.0
696000.0,25175655653.63529,52117288675.55357,0.0,133570151802.1607,-32163864898.084766,0.0
700800.0,25220221935.7047,52328428611.02034,0.0,133584929698.8395,-32449514483.426228,0.0
705600.0,25266326416.816856,52538365160.735855,0.0,133596933343.67331,-32732993676.609173,0.0
710400.0,25313959428.981163,52747098549.71551,0.0,133606180173.57378,-33014302883.46495,0.0
715200.0,25363111461.548183,52954628966.3236,0.0,133612687341.67651,-33293442443.72201,0.0
720000.0,25413773157.98808,53160956562.08634,0.0,133616471723.15138,-33570412630.66871,0.0
724800.0,25465935312.756844,53366081451.5092,0.0,133617549920.85452,-33845213650.823826,0.0
729600.0,25519588868.247368,53570003711.898026,0.0,133615938270.82736,-34117845643.613995,0.0
734400.0,25574724911.822556,53772723383.18346,0.0,133611652847.6475,-34388308681.05698,0.0
739200.0,25631334672.927876,53974240467.748116,0.0,133604709469.63652,-34656602767.45,0.0
