time,star1_x,star1_y,star1_z,star2_x,star2_y,star2_z
14354.64656876506,99693358670.7229,99863349254.93837,0.0,150481864946.00687,700214736885.0968,0.0
28709.29313753012,99386753769.34438,99727068787.69774,0.0,150963672648.17313,700428891905.0464,0.0
43063.939706295176,99080185712.99817,99591158044.92279,0.0,151445422451.00287,700642465929.4071,0.0
57418.58627506024,98773654916.93793,99455616473.9156,0.0,151927113701.95468,700855459826.7041,0.0
71773.2328438253,98467161794.54472,99320443522.63771,0.0,152408745751.42972,701067874464.4264,0.0
86127.87941259037,98160706757.33463,99185638639.71208,0.0,152890317952.7599,701279710709.0239,0.0
100482.52598135543,97854290214.9661,99051201274.42505,0.0,153371829662.19614,701490969425.9034,0.0
114837.1725501205,97547912575.2475,98917130876.72833,0.0,153853280238.8968,701701651479.4269,0.0
129191.81911888556,97241574244.14449,98783426897.24086,0.0,154334669044.9158,701911757732.9072,0.0
143546.4656876506,96935275625.78746,98650088787.25067,0.0,154815995445.19113,702121289048.6061,0.0
157901.11225641565,96629017122.47888,98517115998.71683,0.0,155297258807.53317,702330246287.7307,0.0
172255.7588251807,96322799134.70071,98384507984.2711,0.0,155778458502.61316,702538630310.4312,0.0
186610.40539394575,96016622061.12167,98252264197.2199,0.0,156259593903.95166,702746441975.7974,0.0
200965.0519627108,95710486298.60454,98120384091.5459,0.0,156740664387.90717,702953682141.8564,0.0
215319.69853147585,95404392242.21352,97988867121.90993,0.0,157221669333.6645,703160351665.5701,0.0
229674.3451002409,95098340285.22139,97857712743.65251,0.0,157702608123.2235,703366451402.8318,0.0
244028.99166900595,94792330819.11685,97726920412.79565,0.0,158183480141.38782,703571982208.464,0.0
258383.638237771,94486364233.6116,97596489586.04448,0.0,158664284775.7532,703776944936.2158,0.0
272738.28480653604,94180440916.64761,97466419720.78877,0.0,159145021416.6966,703981340438.7605,0.0
287092.9313753011,93874561254.40428,97336710275.10468,0.0,159625689457.3647,704185169567.6926,0.0
301447.57794406614,93568725631.30553,97207360707.75621,0.0,160106288293.66275,704388433173.526,0.0
315802.2245128312,93262934430.0269,97078370478.19678,0.0,160586817324.24344,704591132105.6908,0.0
330156.87108159624,92957188031.50272,96949739046.57079,0.0,161067275950.49573,704793267212.5316,0.0
344511.5176503613,92651486814.93304,96821465873.71497,0.0,161547663576.53378,704994839341.305,0.0
358866.16421912634,92345831157.7908,96693550421.16003,0.0,162027979609.18588,705195849338.1771,0.0
